id	en	hu
688	Egy gazdaság jött létre, a befolyásolás gazdasága, középpontban a lobbistákkal, és ez ellentétek kiéleződéséből táplálkozik.	Egy gazdaság jött létre, a befolyásolás gazdasága, középpontban a lobbistákkal, és ez ellentétek kiéleződéséből táplálkozik.
689	Tehát nem a több érintés egésze van levédve.	Tehát nem a több érintés egésze van levédve.
690	De ez a térkép nő, és világít és navigál téged keresztül a könyv további részén.	De ez a térkép nő, és világít és navigál téged keresztül a könyv további részén.
691	és idővel a nézeteim vitatottból mára többé-kevésbé elfogadottakká váltak.	és idővel a nézeteim vitatottból mára többé-kevésbé elfogadottakká váltak.
692	De ma több és több őrült van a világ különböző országainak az élén, így az esélyek nőnek, nem csökkennek.	De ma több és több őrült van a világ különböző országainak az élén, így az esélyek nőnek, nem csökkennek.
693	Indonéziába vittünk belőlük egy párat az első próbarepülésekre.	Indonéziába vittünk belőlük egy párat az első próbarepülésekre.
694	És még számos más bizonyíték is ezt az elméletet támasztja alá.	És még számos más bizonyíték is ezt az elméletet támasztja alá.
695	DP: Válasszanak egy zeneművet! Gyerünk, gyerünk, szeretnének választani?	DP: Válasszanak egy zeneművet! Gyerünk, gyerünk, szeretnének választani?
696	Na ez érdekes! Ez aztán egy másfajta gondolkodás!	Na ez érdekes! Ez aztán egy másfajta gondolkodás!
697	Igazából ezt a módszert a Szilícium-völgyben termékeladásra fejlesztették ki.	Igazából ezt a módszert a Szilícium-völgyben termékeladásra fejlesztették ki.
698	Gépeljék be a légitársaság nevét és a járatot!	Gépeljék be a légitársaság nevét és a járatot!
699	A hormonokból kis mennyiség kerül általában a véráramba.	A hormonokból kis mennyiség kerül általában a véráramba.
700	A porból baktérium mintákat vettünk, feltörtük őket és összehasonlítottuk a génszekvenciájukat.	A porból baktérium mintákat vettünk, feltörtük őket és összehasonlítottuk a génszekvenciájukat.
701	és felértékelődött a népek sokfélesége, köztük Perué is.	és felértékelődött a népek sokfélesége, köztük Perué is.
702	Az egyenlőség, méltányosság, hagyományos választások, demokrácia, nem megfelelő kifejezések rá.	Az egyenlőség, méltányosság, hagyományos választások, demokrácia, nem megfelelő kifejezések rá.
703	Hasonlóképpen érdekli a kar, a kéz szárnnyá való alakulása.	Hasonlóképpen érdekli a kar, a kéz szárnnyá való alakulása.
704	Képzeljük el életünk történetét, a borítóját, az elejét és a végét, születésünket és halálunkat.	Képzeljük el életünk történetét, a borítóját, az elejét és a végét, születésünket és halálunkat.
705	Az éttermek és az élelmiszeripar úgy általánosságban többé-kevésbé a legpazarlóbb iparág a világon.	Az éttermek és az élelmiszeripar úgy általánosságban többé-kevésbé a legpazarlóbb iparág a világon.
706	Továbbá kevésbé megosztó a vásárlók és a törvényhozók számára.	Továbbá kevésbé megosztó a vásárlók és a törvényhozók számára.
707	Először, ha a szén-dioxid-kibocsátás ma véget érne is, a globális felmelegedés folytatódna.	Először, ha a szén-dioxid-kibocsátás ma véget érne is, a globális felmelegedés folytatódna.
708	A tudósok és mérnökök valóban képesek megváltoztatni a világot.	A tudósok és mérnökök valóban képesek megváltoztatni a világot.
709	A régi időkben a vezénylés, a zenélés, kevésbé szólt a bizalomról, inkább a kényszerről.	A régi időkben a vezénylés, a zenélés, kevésbé szólt a bizalomról, inkább a kényszerről.
710	Zeném megemlékezés, az elnyomás és a szabadság közt dúló harcról szól.	Zeném megemlékezés, az elnyomás és a szabadság közt dúló harcról szól.
711	A csúfság és középszerűség épp az ellenkezőleg hat.	A csúfság és középszerűség épp az ellenkezőleg hat.
712	MT: Ez a hit a képzeltben alapvető bármilyen színházi élményhez.	MT: Ez a hit a képzeltben alapvető bármilyen színházi élményhez.
713	Így a kutatásnak egy másik irányába kezdtünk, a vezető állapotának modellezésébe.	Így a kutatásnak egy másik irányába kezdtünk, a vezető állapotának modellezésébe.
714	"Hasonlítsuk ezt össze az 1939-es ""Óz, a csodák csodájával""."	"Hasonlítsuk ezt össze az 1939-es ""Óz, a csodák csodájával""."
715	Az ultrasűrű Higgs-állapot egy buboréka szintén létrejöhet alagúthatás révén.	Az ultrasűrű Higgs-állapot egy buboréka szintén létrejöhet alagúthatás révén.
716	És íme: az erős formája a cipő bekötésének.	És íme: az erős formája a cipő bekötésének.
717	Ez nagyszerű. És az utolsó érzelem a büszkeség.	Ez nagyszerű. És az utolsó érzelem a büszkeség.
718	A zöld kórházi ruhák helyére virágmintás poliészter ruhák kerültek.	A zöld kórházi ruhák helyére virágmintás poliészter ruhák kerültek.
719	Így tehát megötszörözhetjük a hatást egy efféle pályaválasztással.	Így tehát megötszörözhetjük a hatást egy efféle pályaválasztással.
720	Valószínűleg ráköltöttek több százezer dollárt az üzemanyagra, és a fénymásolásra, és a bérekre,	Valószínűleg ráköltöttek több százezer dollárt az üzemanyagra, és a fénymásolásra, és a bérekre,
721	Összeköti életünkben a pólusokat, pozitívot és negatívot, és újra lendületbe hoz.	Összeköti életünkben a pólusokat, pozitívot és negatívot, és újra lendületbe hoz.
722	MS: És mérjük le. És mit mérjünk le?	MS: És mérjük le. És mit mérjünk le?
723	Szóval ez valójában egy játék két felfogás között.	Szóval ez valójában egy játék két felfogás között.
724	Benszülött közösségekben is fellelhetjük, és vidéki közösségekben is.	Benszülött közösségekben is fellelhetjük, és vidéki közösségekben is.
725	Honfitársainknak szüksége van a művészetünkre, márpedig a kultúra a kommunikáción túl van.	Honfitársainknak szüksége van a művészetünkre, márpedig a kultúra a kommunikáción túl van.
726	És ez egy súlyos probléma. De mi a forrása?	És ez egy súlyos probléma. De mi a forrása?
727	A legtöbb fémkohó elképesztő mennyiségű szén-dioxidot bocsát ki.	A legtöbb fémkohó elképesztő mennyiségű szén-dioxidot bocsát ki.
728	Ez a családon belüli erőszakról szól elsősorban, de behelyettesíthető mással is.	Ez a családon belüli erőszakról szól elsősorban, de behelyettesíthető mással is.
729	Két részből áll: a kódolóból és a jelátalakítóból.	Két részből áll: a kódolóból és a jelátalakítóból.
730	Először is, ezt a videót már harmincmillióan látták.	Először is, ezt a videót már harmincmillióan látták.
731	Láttuk ezt az Egyesült Királyságban, láttuk ezt Oroszországban, láttuk ezt az Egyesült Államokban, és 2015-ig itt, Kanadában is.	Láttuk ezt az Egyesült Királyságban, láttuk ezt Oroszországban, láttuk ezt az Egyesült Államokban, és 2015-ig itt, Kanadában is.
732	Nos az első következetes összetevője a sajnálkozásnak alapjában véve az elutasítás.	Nos az első következetes összetevője a sajnálkozásnak alapjában véve az elutasítás.
733	és valószínűleg ez dönti el a játék kimenetelét.	és valószínűleg ez dönti el a játék kimenetelét.
734	Értékeljük a nőiességet és férfiasságot, de közben erős kritikával is illetjük.	Értékeljük a nőiességet és férfiasságot, de közben erős kritikával is illetjük.
735	És ez a világ vezető vállalkozása az orvosbiológiai kutatások terén.	És ez a világ vezető vállalkozása az orvosbiológiai kutatások terén.
736	A legtöbbjük gyilkosságról, korrupcióról, betegségekről, természeti katasztrófákról szól.	A legtöbbjük gyilkosságról, korrupcióról, betegségekről, természeti katasztrófákról szól.
737	Itt jön, és van itt egy rövid videó.	Itt jön, és van itt egy rövid videó.
738	Ez történik ha összetévesztjük az erkölcsöt a takarékossággal.	Ez történik ha összetévesztjük az erkölcsöt a takarékossággal.
739	Itt a szabadság elvesztéséről van szó az ellenőrzés javára.	Itt a szabadság elvesztéséről van szó az ellenőrzés javára.
740	És minél több időt töltünk velük, annál őrültebben vágyunk még többre és többre.	És minél több időt töltünk velük, annál őrültebben vágyunk még többre és többre.
741	A történelem során a legtöbb maláriás társadalom a betegséggel együtt élt.	A történelem során a legtöbb maláriás társadalom a betegséggel együtt élt.
742	Nevetés) Miért is tennénk fel ezt a kérdést?	Nevetés) Miért is tennénk fel ezt a kérdést?
743	"Anyám feljött utánam, és azt kérdezte: ""Mi a fenét csinálsz?"	"Anyám feljött utánam, és azt kérdezte: ""Mi a fenét csinálsz?"
744	és ezt az váltakozást az elemzők normális körülmények között nem látják.	és ezt az váltakozást az elemzők normális körülmények között nem látják.
745	Az állat egyáltalán nem kontrollálta a lábai mozgását.	Az állat egyáltalán nem kontrollálta a lábai mozgását.
746	És itt az egy főre eső jövedelmet, összehasonlítható dollárban.	És itt az egy főre eső jövedelmet, összehasonlítható dollárban.
747	de ezt illusztrálandó, szeretnék elmesélni Önöknek egy történetet.	de ezt illusztrálandó, szeretnék elmesélni Önöknek egy történetet.
748	Sorolhatnám és sorolhatnám tovább a fellelhető különbségek listáját.	Sorolhatnám és sorolhatnám tovább a fellelhető különbségek listáját.
749	Az élet rövid, és egy egész évről van szó, amiről itt lemondanál.	Az élet rövid, és egy egész évről van szó, amiről itt lemondanál.
750	Az evolúció a génállomány következő generációra való átörökítéséről szól, alkalmazkodással, túléléssel, generációról, generációra.	Az evolúció a génállomány következő generációra való átörökítéséről szól, alkalmazkodással, túléléssel, generációról, generációra.
751	Mit tegyünk, ha a reáljövedelem növekedése önmagában véve elveszíti vonzerejét?	Mit tegyünk, ha a reáljövedelem növekedése önmagában véve elveszíti vonzerejét?
752	Aztán ide beszúrjuk azt a címet, ahová a felhasználót irányítanánk.	Aztán ide beszúrjuk azt a címet, ahová a felhasználót irányítanánk.
753	Próbáljuk azt az elménk egy távoli csücskébe száműzni, de nem tűnik el.	Próbáljuk azt az elménk egy távoli csücskébe száműzni, de nem tűnik el.
754	JM: Itt kezdődik a trükkös rész, elkezdjük lejátszani a hanghatásokat.	JM: Itt kezdődik a trükkös rész, elkezdjük lejátszani a hanghatásokat.
755	Halál: A halál bárhol és bármikor utolérhet, még a bio étteremben is.	Halál: A halál bárhol és bármikor utolérhet, még a bio étteremben is.
756	És meglepetésemre, Több százezren nézték meg az első nap.	És meglepetésemre, Több százezren nézték meg az első nap.
757	Szóval, lenyűgöz bennünket a testbeszéd, és különösképpen mások testbeszéde iránt érdeklődünk.	Szóval, lenyűgöz bennünket a testbeszéd, és különösképpen mások testbeszéde iránt érdeklődünk.
758	A probléma velünk van; a szakértők rabjaivá váltunk.	A probléma velünk van; a szakértők rabjaivá váltunk.
759	Szóval a kormányzati pénzügyek jólállnak, a privát hitelállomány jól áll.	Szóval a kormányzati pénzügyek jólállnak, a privát hitelállomány jól áll.
760	"Ezért válaszként és ajándékként, készítettem el ""A nagybácsim telefonját""."	"Ezért válaszként és ajándékként, készítettem el ""A nagybácsim telefonját""."
761	Még egy baj származik a nyomásvesztésből és a víz gőzzé válásából:	Még egy baj származik a nyomásvesztésből és a víz gőzzé válásából:
762	Nevetés) De felvetődött egy jó kérdés. Ránéztek a koponyákra	Nevetés) De felvetődött egy jó kérdés. Ránéztek a koponyákra
763	A félelemnek és a meseszövésnek közösek az összetevői.	A félelemnek és a meseszövésnek közösek az összetevői.
764	1991-ben történt életem talán a legmélyebb és legfelkavaróbb élménye.	1991-ben történt életem talán a legmélyebb és legfelkavaróbb élménye.
765	Nem a mai előadásomra rendelkezésre álló időmről beszélek.	Nem a mai előadásomra rendelkezésre álló időmről beszélek.
766	És ez egy vadiúj kihívás a vezetők számára.	És ez egy vadiúj kihívás a vezetők számára.
767	Ezt a három technikát használva készült: másolás, átalakítás, keverés.	Ezt a három technikát használva készült: másolás, átalakítás, keverés.
768	Ez a Szemüveg mögötti vízió, ezért készítettük ezt a formát.	Ez a Szemüveg mögötti vízió, ezért készítettük ezt a formát.
769	Egy idő után ez az érzékelés érzéssé vált.	Egy idő után ez az érzékelés érzéssé vált.
770	Itt jönnek a képbe a szakértők, és alapvető anatómiai felosztást végeznek.	Itt jönnek a képbe a szakértők, és alapvető anatómiai felosztást végeznek.
771	És beszélek, de ez egy lenyűgöző közönség, és mit csinálok én itt?	És beszélek, de ez egy lenyűgöző közönség, és mit csinálok én itt?
772	Azt mondják, a legveszélyesebb állat a planétán, a serdülő korú hím.	Azt mondják, a legveszélyesebb állat a planétán, a serdülő korú hím.
773	Nevetés) Így -- (nevetés) -- bocsánat -- (Nevetés	Nevetés) Így -- (nevetés) -- bocsánat -- (Nevetés
774	ez a különbség köztünk és a dínók között.	ez a különbség köztünk és a dínók között.
775	1993-ban, a jövedelmi különbségek a népesség ötödei között elég szörnyűek.	1993-ban, a jövedelmi különbségek a népesség ötödei között elég szörnyűek.
776	Ez az esemény indította el egész életemen át tartó identitáskeresésemet.	Ez az esemény indította el egész életemen át tartó identitáskeresésemet.
777	Ezután izoláljuk a bőrsejteket és egy sejtkultúra közegben szaporítjuk.	Ezután izoláljuk a bőrsejteket és egy sejtkultúra közegben szaporítjuk.
778	És ez is a probléma része: nem választasz!	És ez is a probléma része: nem választasz!
779	"A ""Nők férfiak nélkül"" visszapillantás a történelemben, az iráni történelem egy másik szeletébe."	"A ""Nők férfiak nélkül"" visszapillantás a történelemben, az iráni történelem egy másik szeletébe."
780	Egy filozófus így magyarázza el a félbevágott nő trükköt.	Egy filozófus így magyarázza el a félbevágott nő trükköt.
781	És végül ott az erdőirtás meg a metánkibocsátás a mezőgazdaságban.	És végül ott az erdőirtás meg a metánkibocsátás a mezőgazdaságban.
782	És tulajdonképpen évszázadok óta ismerjük az egyedüllét átalakító erejét.	És tulajdonképpen évszázadok óta ismerjük az egyedüllét átalakító erejét.
783	Először is a dinamikát felírtuk egy differenciálegyenlet-rendszer segítségével.	Először is a dinamikát felírtuk egy differenciálegyenlet-rendszer segítségével.
784	Mi az átváltási arány az Elon-idő és a valós idő között?	Mi az átváltási arány az Elon-idő és a valós idő között?
785	Az eredmény egy kb. tízszer tíz centiméteres, mesterséges nano-gekkó ragasztó,	Az eredmény egy kb. tízszer tíz centiméteres, mesterséges nano-gekkó ragasztó,
786	Itt van a sebezhetőség, a gyász, a szégyen, a félelem, és itt van a csalódás,	Itt van a sebezhetőség, a gyász, a szégyen, a félelem, és itt van a csalódás,
787	Passengers can get coffee and newspapers when boarding.	A kávét és az újságokat az utasok beszálláskor megkaphatják.
788	The best and most technically well-equipped telephones, with a 3.5 mm jack for ordinary headphones, cost up to fifteen thousand crowns.	A legjobb és műszaki szempontból leginkább felszerelt telefonok a hagyományos 3,5 mm átmérőjű lyukú fülhallgatókkal akár tizenötezer koronába is kerülhetnek.
789	This makes it seem clear that it is better to only buy a phone.	Ebből világosnak tűnik, hogy jobb csak telefont vásárolni.
790	Namely, they make considerable profits from the activities of these companies and at the same time - unlike the real virtual operators - they do not present any sort of threat to them through their own official marketing.	E cégek tevékenységéből ugyanis nem elhanyagolható nyereségük van és közben ezeket - a valódi virtuális szolgáltatóktól eltérően - különösebben nem fenyegetik saját hivatalos marketingjükkel.
791	The problem is that the trading conditions of all Czech mobile operators prohibit such advance sales.	A gond az, hogy valamennyi cseh mobilszolgáltató kereskedelmi feltételei tiltják a hasonló elővételt.
792	The American National Transport Safety Bureau (NTSB) has reported that some hours after the wreck was spotted an investigatory team was sent, that has then identified the aircraft: it is the Bellanca 8KCAB, which has been missing since 3rd September 2007, when Fossett took off from Yerington in Nevada for a three hour flight.	Az Amerikai Közlekedésbiztonsági Hivatal (NTSB) közölte, hogy néhány órával a roncs felfedezése után felkértek egy vizsgálóbizottságot, melynek sikerült azonosítani a gépet, és megállapítani, hogy valóban arról a Bellanca 8kcab-ról van szó, amely 2007. szeptember 3-án tűnt el, azon a napon, amikor Fossett a nevadai Yerington-ból egy három órás repülőútra indult.
793	But deliberations on a jointer between Deka Bank and Landesbanken have continued to rear their heads.	Azonban újból és újból felvetődött a Deka-Bank és a tartományi bankok kapcsolatának gondolata.
794	The 1.4 Jazz with 100 hp reaches a combination of 5.4 litres of fuel and 128 grams of CO2 emitted.	A 100 lóerős 1,4-es Jazz átlagosan 5,4 litert fogyaszt, emissziója pedig 128 gramm CO2.
795	"Sooner or later it will end in a fatal accident,"" he told Týden.cz nearly a year ago."	"Előbb vagy utóbb ez valamilyen halálos sérüléssel végződik,"" mondta alig egy évvel ezelőtt a Týden.cz-nek."
796	Alexej Litvin, head of Asiana, which operates a fraction of the bus lines that SA does, explained the absence of stewards in his vehicles as due to safety interests.	Járműveiben biztonsági érdekekkel indokolta az utaskísérők hiányát Alexej Litvin, az Asiana igazgatója, aki a Student Agencyvel összehasonlítva járatok töredékét üzemelteti.
797	Based on capacity (maximum 2 GB) you don't have to spend more than 1,100 crowns.	A kapacitás alapján (max. 2 GB) nem kell 1 100 koronánál többet költenie.
798	The Hang Seng Index of the Hong Kong Stock Exchange wrote off nearly four percent during the day, but later it erased a part of the losses and reduced the decrease to roughly 2.5 percent.	A hongkongi Hang Seng tőzsdeindex a kereskedés folyamán majdnem négy százalékot írt le, de később a veszteségek egy részét törölte és a csökkenést körülbelül 2,5 százalékra csökkentette.
799	In order to function effectively, they require many fewer customers than a classic operator does.	A hatékony működéshez ugyanis a hagyományos szolgáltatónál sokkal kevesebb ügyfélre van szüksége.
800	Transactions with stocks from the Czech Energy Enterprise (ČEZ) reached nearly half of the regular daily trading.	A Cseh Energiaipari Vállalkozás (ČEZ) részvényeivel folytatott tranzakciók a megszokott napi kereskedés közel felét érték el.
801	He recommends appealing to a higher court, then it would be possible to pardon him, the head of Czech diplomacy said.	Felsőbb bírósághoz fellebbezést ajánlott, akkor lehetséges lenne felmenteni őt, mondta a cseh diplomácia főnöke.
802	Paris expects French companies to be awarded contracts to build nuclear reactors in India in a value of 20 billion euros.	Párizsban abban bíznak, hogy indiai atomreaktorok építésére a francia cégek húszmilliárd euró értékben kapnak megbízást.
803	Without any doubts, Mercedes, through this advertisement, is trying to introduce something new into the conventional field of automotive publicity.	Kétségtelen, hogy a Mercedes ezzel a promócióval valami újszerűt próbál bevezetni az autóipar sztereotip reklámvilágába.
804	Information publicly available from the Czech Telecommunication Office's web pages attests to this.	Erről tanúskodnak a ČTÚ honlapjáról a nyilvánosan elérhető információk.
805	If the mobile operators are looking the other way concerning this procedure, why are they blocking the creation of a virtual operator?	Ha a mobilszolgáltatók hasonló eljárás felett szemet hunynak, miért akadályozzák a virtuális szolgáltató születését?
806	"But surely at some point, I asked, ""Turkey might be forced to choose?"	De lehetséges, hogy előbb-utóbb választásra kényszerül? - kérdeztem.
807	We have to recognize that the Department of Treasury of the United States, owning quite good capitals to act, certainly does not lack of talent.	El kell ismernünk, hogy az USA Kincstári Osztálya azon túl, hogy rengeteg befektethető készpénzzel rendelkezik, józan észnek sincs híján.
808	But as the example of Mobilking in Poland shows, it can be a rather good move and a bet on a novel target group.	De ahogyan azt a lengyelországi Mobilking példája is mutatja, egész jó húzás lehet egy úgy célcsoportra fogadni is.
809	But given the current state of the economy and market, we hoped to minimize the risks and to protect our backs.	A jelenlegi piaci és gazdasági helyzet miatt azonban szerettük volna minimalizálni és kivédeni a lehetséges kockázatokat.
810	If you are a more demanding listener, reach instead for specialized cell phones - walkman (Sony Ericsson, some Nokia and Samsung models).	Ha az igényesebb hallgatókhoz tartozik, válasszon inkább speciális mobil-walkmaneket (Sony Ericsson, néhány Nokia és Samsungok).
811	Even after the accident, the head does not consider their job to be risky.	Az igazgató a baleset után sem tartja foglalkozásukat kockázatosnak.
812	With Turkey on board, the message seems to be, Europe as a whole can metaphorically ride those rail lines eastwards towards Asia and the Middle East.	Mintha azt az üzenetet akarnák közvetíteni, hogy - átvitt értelemben - Törökországgal együtt egész Európa eljuthat azokon a kelet felé tartó vasútvonalakon Ázsiába és a Közel-Keletre.
813	The FIGC had put at the disposal of the Italian fans 144 tickets for the match: all personal, hence easily checkable.	Az olasz futballszövetség 144 jegyet bocsátott az olasz szurkolók rendelkezésére. Ezek névre szóló jegyek voltak, így könnyebb ellenőrizni a szurkolói csapatot.
814	In addition, it is equipped with a fine mechanics which increases the driving comfort and permits to save fuel.	Mindez kifinomult mechanikával párosul, amely kényelmesebbé teszi a vezetést és növeli az üzemanyag-megtakarítást.
815	Just there, almost a million units of Jazz were sold from the model's launch.	Japánban például piacra kerülése óta közel egymillió darabot adtak el a Jazzből.
816	The head of the Department of Motor Vehicle Operation of the Ministry of Transportation, Josef Pokorný, on the contrary, said that the law treats this issue sufficiently.	Josef Pokorný, a közlekedési minisztérium közúti jármű-üzemeltetési osztályának igazgatója ellenkezőleg úgy véli, hogy a törvény megfelelően kezeli a problémát.
817	According to the German Federal Ministries of Defense and of the Interior, German special forces indirectly took part in the rescue mission.	A mentőakcióban a Honvédelmi Minisztérium és a Belügyminisztérium adatai szerint közvetve német speciális erők is részt vettek.
818	In choosing specific equipment, you should be interested above all in the life of the battery, the capacity of the memory, the quality and type of the audio output, and of course also the user-friendly nature of the operation.	A konkrét berendezés kiválasztásánál érdeklődjön elsősorban az akkumulátor élettartama, a memória kapacitásáról, a hangkimenet minőségéről és típusáról, és természetesen a kezelés kényelméről is.
819	Behind them, next to a five-litre keg of Kaiser beer, stands a massively built bearded man who is proving to the approximately 200 Oktoberfest tourists just how deep the sounds are that his throat his capable of producing.	Mögöttük, a Kaiser márkájú ötliteres hordó mellett egy erős testalkatú szakállas férfi áll, és azt bizonygatja az Oktoberfestre utazó mintegy 200 személynek, hogy milyen mély hangokat tud előcsalogatni a torkából.
820	An international banishment which prohibits the attendance of not only stadiums in Italy but also in all of Europe.	Nemzetközi kitiltásról van szó, amely nemcsak az olasz, hanem Európa összes stadionjának látogatására vonatkozik.
821	And also remind them to fasten their seatbelts before they start driving.	És arra is emlékeztetnie kellene őket, hogy biztonsági öveiket kpcsolják be mielőtt elindulnak.
822	For bookings during the winter season, travel agencies saw an increase in turnover of 31 percent versus the same period of the previous year, the German Travel Association (DRV) reported in Berlin on Monday.	A téli idényre szóló foglalásoknál az utazási irodák 31 százalékos forgalomnövekedést könyveltek el az előző évi időszakhoz képest - ismertette hétfőn Berlinben a Német Utazási Szövetség (DRV).
823	Four Italian supporters, who had previous stadium-related crimes, had in fact been refused tickets and kept from going.	Négy olasz szurkolótól, akiknek a labdarúgáshoz kapcsolódó priusza van, megtagadták a jegyet és a kiutazást.
824	The minister made this statement in New York following today's meeting with his Indian counterpart, Pranab Mukherjee.	A miniszter ezt tette közzé New Yorkban Pranáb Mukherdzsivel, indiai partnerével való mai napon történt találkozása után.
825	The applying customers used to be sent to have a medical examination performed, and the contract was concluded in light of the screening results only.	Régen orvosi vizsgálatra küldték az illetőt, és a szerződést csak a kivizsgálás eredményének ismeretében kötötték meg.
826	That is, they can buy the coupon over the Internet and it will be added to the Opencard at one of the thirteen branches of the City Library.	A kupont ugyanis megvásárolhatják az interneten keresztül és az Opencard kártyára rá is mentik a Városi Könyvtár tizenhárom fiókjának egyikében.
827	A Slovenian tractor trailer truck likely left the emergency lane without signalling and blocked the path of the bus.	A szlovén kamion valószínűleg irányjelző használata nélkül kanyarodott ki a leállósávból és elállta az autóbusz útját.
828	"The new law is also meant to constrain the ""golden parachutes"" for the heads of the companies participating in the program and establishes a committee which will oversee the fund."	Az új törvény a programban résztvevő igazgatók ún. busás végkielégítéseit is korlátozza, és az alapot felügyelő bizottságot hoz létre.
829	The minister avoided answering the question of whether he had received a promise from the Indian side to pursue the matter.	Arra a kérdésre, vajon az indiai féltől kapott-e ígéretet az üggyel való foglalkozásra, a miniszter kikerülte a választ.
830	The commercial launch of Insight is planned for the early next year, shortly after the presentation of the model inside the company in January in Valenza.	Az Insight kereskedelmi bevezetése a januárra tervezett hivatalos valenciai bemutató után, az év első hónapjaiban esedékes.
831	Wednesday, October 1, 2008 will be written into the history of the Prague Transport Company as the date when the first travellers board the metro, trams and buses with an electronic coupon in their pockets instead of a paper ticket.	2008. október 1 szerda azon dátumként írja be magát prágai Közlekedési Vállalat történelmébe, amikor a metrókba, villamosokba és autóbuszokba beszáll az első utas, akinek elektronikus kuponja lesz a zsebében papír vonaljegy helyett.
832	A debate on the financing of culture made the headlines and has engrossed this electoral campaign.	Az újsághírek és az éppen zajló választási kampány középpontjában jelenleg a kultúra finanszírozásával kapcsolatos vita áll.
833	Some companies process even the results of laboratory examinations and connect those to drug consumption data. This way they can provide more accurate information on the patients' health condition.	Egyes cégek újabban már a laboratóriumi vizsgálatok eredményét is feldolgozzák, és össze is kapcsolják a gyógyszerfogyasztási adatokkal, így még pontosabb képet tudnak szolgáltatni a páciensek egészségi állapotáról.
834	Since the annexation by Czechoslovakia supposedly only gives the Sudeten Germans hope for - knowing the Czech national character - brutality, disregard, lack of understanding, oppression and slavery, the authors of the letter ask the American president to take over the protectorate of Šumava forever.	"Mivel a Csehszlovákiához csatolás a szudéta németeknek állítólag - a cseh nemzeti jellem ismerete mellett - csak brutalitásra, könyörtelenségre, nem megértésre, elnyomásra és rabszolgaságra adhat reményt, a levél szerzői arra kérik az amerikai elnököt, hogy Šumava felett vegye át a protektorátust ""most és mindörökké""."
835	The global financial crisis is significantly impacting the stock markets, which are dropping sharply.	A globális pénzügyi válság jelentős hatással van a részvénypiacokra, amelyek hevesen esnek.
836	`Run!' Run and man the seats in the rear part of the tent.	Futás! Futás és a sátor hátsó részében található helyek elfoglalása.
837	In a dramatic campaign, supporters had made desperate attempts to convince the critics of the 700 billion dollar plan's merits.	A támogatók kétségbeesetten kísérelték meg, hogy egy drámai akció során mégis meggyőzzék a kritikusokat a 700 milliárd dolláros csomag szükségességéről.
838	The most expensive action aimed at safety on the roads in Czech history.	A cseh történelemben az utak biztonságára irányuló legdrágább akció.
839	"The House of Representatives should be able to vote on the bill on Sunday and the Senate on Monday,"" said Republican senator Judd Gregg."	"A törvényről a képviselőháznak képesnek kellene lennie szavaznia vasárnap, a Szenátusnak pedig hétfőn,"" említette Judd Gregg republikánus szenátor."
840	That's also one way to characterize the emotive media campaign which the Ministry of Transportation plans to launch on Wednesday.	Így is jellemezhető lenne az az érzelmekre ható médiakampány, amelyet szerdán kíván elindítani a Közlekedési Minisztérium.
841	It reaches now 3,90 meters length (five centimetres more), 1,69 meters width (two centimetres more) and its interaxle 2,50 meters, with an increment of five centimetres.	Hosszúsága eléri a 3900 mm-t (öt centivel hosszabb), szélessége 1690 mm (két centivel szélesebb) és a tengelytávolság öt centit nőtt, azaz 2500 mm.
842	More than three hundred will be the Italian editors present at the sixtieth anniversary of Buchmesse, the most important international event for the exchange of copyrights.	Több mint háromszáz olasz kiadóház lesz jelen a legjelentősebb nemzetközi szerzői jogi találkozón, a 60. Buchmesse vásáron.
843	Tomorrow the Observatory meets, on Tuesday the CASMS which can count on a section of the AISE, that is the secret service, which handles exactly the problems in stadiums.	Holnap ülésezik a Megfigyelő szolgálat, kedden pedig a Sportesemények Biztonságát Elemző Bizottság, amely a belbiztonsági szolgálat egyik részlegére is számíthat, a szurkolói magatartással foglalkozó titkosszolgálatokra.
844	According to news agency information, the agreement would be in force for 15 years.	Hírügynökségi értesülések szerint a megállapodás 15 évre szólna.
845	The legislators thus ignored President George Bush's appeal for them to support the plan.	A törvényhozók ezáltal figyelmen kívül hagyták George Bush elnök felhívását a terv támogatására.
846	These are the thoughts (expressed with great disappointment) of Domenico Mazzilli, who, as of a few weeks ago, is the director of the Observatory of the Viminale (he achieved the post which was initially held by Francesco Tagliente and then by Felice Ferlizzi).	Ezt a gondolatot fejtette ki, meglehetősen szerencsétlen módon, Domenico Mazzilli, akit néhány hete neveztek ki a Belügyminisztérium megfigyelő szolgálatának élére (a posztot Francesco Tagliente, azelőtt pedig Felice Ferlizzi foglalta el).
847	Morgan Stanley opened its capital to MUFG	A Morgan Stanley megnyitja tőkéjét a MUFG számára
848	Coastal countries today have begun to vehemently compete for the new underwater territory.	A part menti államok napjainkban intenzíven pályáznak új tenger alatti területekért.
849	Despite the fact that it is a part of China, Hong Kong determines its currency policy separately, that is, without being dependent on the Chinese Central Bank.	Hongkong, noha Kína része, pénzpolitikáját önállóan, vagyis a kínai központi banktól függetlenül határozza meg.
